fid;vid;ido
1;v001;2:11:00
1;v005;2:56:00
1;v006;3:21:00
2;v001;2:19:00
2;v002;3:50:00
2;v004;4:16:00
2;v005;3:12:00
2;v006;3:45:00
3;v001;3:01:00
3;v005;3:24:00
3;v006;3:43:00
4;v001;1:25:00
4;v003;4:02:00
4;v005;3:00:00
4;v006;3:28:00
5;v001;1:24:00
5;v003;3:38:00
5;v005;3:00:00
5;v006;3:35:00
6;v001;2:20:00
6;v002;3:42:00
6;v003;3:45:00
6;v005;3:12:00
6;v006;3:54:00
7;v001;2:25:00
7;v004;4:55:00
7;v005;3:04:00
7;v006;3:57:00
8;v001;1:29:00
8;v005;2:57:00
8;v006;4:09:00
9;v001;2:47:00
9;v003;3:29:00
9;v005;3:11:00
9;v006;4:00:00
10;v001;2:50:00
10;v002;3:12:00
10;v005;3:16:00
10;v006;3:19:00
11;v001;1:39:00
11;v002;3:48:00
11;v006;3:27:00
12;v001;1:58:00
12;v006;3:36:00
13;v001;1:25:00
13;v002;3:22:00
13;v006;3:28:00
14;v001;2:44:00
14;v003;3:30:00
14;v006;4:05:00
15;v001;3:02:00
15;v004;4:25:00
15;v006;3:18:00
16;v001;2:13:00
16;v003;3:20:00
16;v006;3:25:00
17;v001;2:16:00
17;v003;4:00:00
17;v006;3:55:00
18;v001;1:34:00
18;v006;3:41:00
19;v001;1:55:00
19;v004;4:48:00
19;v006;3:52:00
20;v001;2:22:00
20;v002;3:18:00
20;v006;3:31:00
21;v001;3:10:00
21;v004;4:22:00
21;v006;3:26:00
22;v001;2:33:00
22;v006;3:40:00
23;v002;3:56:00
23;v006;3:23:00
24;v001;2:18:00
24;v002;3:14:00
24;v003;3:50:00
24;v004;4:36:00
24;v006;3:49:00
25;v001;2:08:00
25;v003;3:29:00
25;v006;3:40:00
26;v001;1:55:00
26;v003;3:49:00
26;v004;4:39:00
26;v006;3:22:00
27;v001;1:56:00
27;v006;3:29:00
28;v001;2:15:00
28;v004;4:27:00
28;v006;3:36:00
29;v001;2:45:00
29;v002;3:41:00
29;v004;4:17:00
29;v006;3:37:00
30;v001;2:36:00
30;v002;3:33:00
30;v003;3:46:00
30;v004;4:28:00
30;v006;3:26:00